fiidex,fi_cycle,fi_bit,opcode,error_type
1140,1279854984,16,fadd,benign
3849,349559898,48,fmul,benign
436,1221798166,62,insertelement,benign
4098,190844020,7,select,benign
2215,736562974,53,phi,SDC
559,1663661371,24,insertelement,benign
3801,1986496646,61,fadd,benign
5180,1794171756,0,fcmp,benign
3438,1865514780,39,load,SDC
3704,667672501,44,load,benign
620,74814394,2,fmul,benign
617,1794897675,39,fadd,benign
3679,399248518,42,load,benign
2975,500965456,21,fsub,benign
488,566027382,26,fmul,benign
3729,148132074,59,fadd,benign
1125,1664497244,57,fadd,SDC
1164,8349370,26,load,benign
603,1085740188,26,extractelement,benign
517,954141581,83,fsub,benign
3927,808429989,50,fadd,benign
